,Name,Pos,League,Age,90s,TklAtt,TklWon,Tkl_Percentage%,TklWon/90,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Succ,Press,Pres%,Succ/90,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,Blocks/90,ShotBlocked,ShSv,Pass,Int,Int/90,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,PassCmp/90,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersAtt,HeadersWon/90,HeadersWon%
2450,Suat Serdar,MFFW,Bundesliga,24.0,24.6,71,42,59.2,1.7,31,33,7,15,47,31.9,32,132,486,27.2,5.4,130,262,94,44,1.8,3,0,41,40,1.6,111,11,0,3,33,10,30.3,1.34,0.41,0.09,0.3,17.2,0,0,0,2.4,2.4,0.07,0.6,0.6,48,1.95,31,0,5,2,7,3,2,0.08,2,0,0,0,0,0,428,590,72.5,17.4,8078,2321,189,235,80.4,160,205,78.0,66,106,62.3,0,1.5,-1.5,21,46,19,1,61,171,24,26,50,1.0,48.0
2463,Jonjo Shelvey,MF,Premier League,29.0,22.0,28,14,50.0,0.6,12,14,2,10,32,31.3,22,70,287,24.4,3.2,105,152,30,28,1.3,7,0,21,35,1.6,63,33,2,2,29,14,48.3,1.32,0.64,0.07,0.14,26.3,6,0,0,0.9,0.9,0.03,1.1,1.1,42,1.91,30,8,1,0,0,3,2,0.09,1,0,0,0,0,1,733,914,80.2,33.3,17739,5353,217,239,90.8,299,350,85.4,206,305,67.5,1,0.8,0.2,16,95,10,0,70,213,13,14,27,0.6,48.1
2476,André Silva,FW,Bundesliga,25.0,23.1,14,13,92.9,0.6,2,5,7,2,14,14.3,12,90,307,29.3,3.9,19,133,155,25,1.1,2,0,23,7,0.3,21,14,0,11,54,23,42.6,2.34,1.0,0.15,0.35,11.1,0,3,3,12.2,10.3,0.19,-1.2,-2.3,47,2.04,29,0,4,9,4,1,15,0.65,9,0,1,4,1,0,415,560,74.1,18.0,5509,1291,259,332,78.0,116,152,76.3,13,25,52.0,3,2.5,0.5,15,24,25,3,45,107,48,79,127,2.1,37.8
2477,Bernardo Silva,MFFW,Premier League,26.0,31.7,52,33,63.5,1.0,21,20,11,26,67,38.8,41,143,480,29.8,4.5,87,220,173,33,1.0,3,0,30,32,1.0,84,26,0,8,47,19,40.4,1.48,0.6,0.17,0.42,12.4,0,0,0,6.8,6.8,0.14,1.2,1.2,127,4.0,100,3,11,7,6,0,13,0.41,10,1,0,1,1,0,1698,1921,88.4,53.6,27192,4433,923,985,93.7,619,694,89.2,117,160,73.1,4,5.2,-1.2,54,102,42,9,88,214,14,19,33,0.4,42.4
2478,Caio Henrique Oliveira Silva,DF,Ligue 1,24.0,29.6,49,24,49.0,0.8,26,19,4,25,56,44.6,31,109,331,32.9,3.7,133,127,71,44,1.5,6,0,38,58,2.0,107,45,3,2,19,6,31.6,0.64,0.2,0.11,0.33,21.3,4,0,0,1.0,1.0,0.05,1.0,1.0,83,2.81,58,16,2,2,4,1,12,0.41,10,0,0,1,1,0,1425,1876,76.0,48.1,25191,9252,653,726,89.9,624,773,80.7,134,307,43.6,8,5.8,2.2,45,86,42,9,154,268,13,29,42,0.4,31.0
2479,David Silva,MF,La Liga,35.0,19.1,33,28,84.8,1.5,11,18,4,5,22,22.7,17,101,316,32.0,5.3,71,161,84,19,1.0,4,0,15,15,0.8,48,11,0,2,21,6,28.6,1.1,0.31,0.1,0.33,15.9,0,0,0,2.7,2.7,0.13,-0.7,-0.7,91,4.76,69,9,5,1,5,2,11,0.58,7,1,0,0,3,0,913,1043,87.5,47.8,15626,3568,444,492,90.2,352,391,90.0,90,113,79.6,4,4.4,-0.4,40,74,43,5,97,137,11,22,33,0.6,33.3
2484,Thiago Silva,DF,Premier League,36.0,29.4,36,23,63.9,0.8,18,15,3,11,25,44.0,14,57,173,32.9,1.9,101,66,6,65,2.2,31,3,34,65,2.2,101,114,0,3,18,5,27.8,0.61,0.17,0.17,0.6,10.7,0,0,0,0.9,0.9,0.05,2.1,2.1,26,0.88,21,0,0,3,1,1,1,0.03,0,0,0,0,1,0,2345,2524,92.9,79.8,50070,17549,697,721,96.7,1232,1280,96.3,398,489,81.4,0,0.2,-0.2,7,192,16,0,134,307,68,32,100,2.3,68.0
2486,Mohamed Simakan,DF,Bundesliga,21.0,22.3,45,24,53.3,1.1,27,14,4,16,31,51.6,15,96,252,38.1,4.3,137,93,22,28,1.3,12,0,16,52,2.3,97,71,1,1,12,3,25.0,0.54,0.13,0.08,0.33,11.4,0,0,0,0.9,0.9,0.08,0.1,0.1,15,0.67,13,0,0,1,1,0,2,0.09,1,0,0,0,1,0,1207,1372,88.0,54.1,22995,7323,455,497,91.5,597,634,94.2,143,219,65.3,0,0.3,-0.3,5,82,7,2,65,250,66,23,89,3.0,74.2
2487,Giovanni Simeone,FW,Serie A,26.0,29.5,31,19,61.3,0.6,8,12,11,6,26,23.1,20,164,542,30.3,5.6,60,199,283,40,1.4,5,0,35,6,0.2,37,19,0,17,71,33,46.5,2.41,1.12,0.24,0.52,13.8,0,0,1,10.7,9.9,0.14,6.3,7.1,54,1.83,37,0,5,6,4,2,7,0.24,6,0,0,0,1,0,490,690,71.0,16.6,6684,1093,318,409,77.8,111,158,70.3,31,48,64.6,5,2.7,2.3,22,23,15,4,26,122,60,141,201,2.0,29.9
2491,Moses Simon,FWMF,Ligue 1,26.0,25.9,23,15,65.2,0.6,5,9,9,9,19,47.4,10,79,293,27.0,3.1,51,122,120,25,1.0,4,0,21,20,0.8,43,7,0,6,41,14,34.1,1.58,0.54,0.15,0.43,16.3,2,0,0,4.0,4.0,0.1,2.0,2.0,97,3.74,51,26,10,3,4,3,11,0.42,6,2,2,1,0,0,532,821,64.8,20.5,9289,2971,278,339,82.0,169,247,68.4,69,175,39.4,8,7.2,0.8,65,19,36,20,46,139,15,25,40,0.6,37.5
2494,Wilfried Singo,DF,Serie A,20.0,29.0,52,23,44.2,0.8,25,19,8,21,32,65.6,11,92,350,26.3,3.2,110,148,92,39,1.3,6,0,33,38,1.3,90,45,0,3,41,7,17.1,1.42,0.24,0.07,0.43,14.8,0,0,0,2.7,2.7,0.07,0.3,0.3,53,1.83,41,0,3,4,3,2,6,0.21,6,0,0,0,0,0,1079,1403,76.9,37.2,19351,6822,473,542,87.3,487,608,80.1,102,186,54.8,4,2.4,1.6,24,53,37,15,99,252,58,35,93,2.0,62.4
2500,Ibrahima Sissoko,MFDF,Ligue 1,23.0,25.6,43,24,55.8,0.9,15,19,9,6,26,23.1,20,112,438,25.6,4.4,119,223,96,60,2.3,13,0,47,44,1.7,87,39,0,2,26,5,19.2,1.02,0.2,0.08,0.4,13.6,0,0,0,2.6,2.6,0.1,-0.6,-0.6,56,2.19,43,0,5,1,7,0,8,0.31,7,0,0,0,1,0,854,1059,80.6,33.4,15903,4750,365,427,85.5,362,412,87.9,108,167,64.7,5,4.2,0.8,26,76,22,4,91,244,66,38,104,2.6,63.5
2501,Moussa Sissoko,MF,Premier League,31.0,35.8,59,40,67.8,1.1,34,22,3,19,35,54.3,16,160,505,31.7,4.5,177,250,78,53,1.5,12,0,41,44,1.2,103,72,0,2,25,8,32.0,0.7,0.22,0.08,0.25,16.4,0,0,0,3.4,3.4,0.14,-1.4,-1.4,62,1.73,52,0,4,2,1,3,4,0.11,2,0,1,0,0,1,945,1185,79.7,26.4,16885,4964,462,533,86.7,353,441,80.0,113,158,71.5,1,2.8,-1.8,33,90,23,11,112,385,85,58,143,2.4,59.4
2505,Ellyes Skhiri,MF,Bundesliga,26.0,20.2,57,37,64.9,1.8,27,26,4,22,46,47.8,24,139,379,36.7,6.9,123,191,65,52,2.6,7,0,45,45,2.2,102,44,1,4,23,8,34.8,1.14,0.4,0.17,0.5,15.1,0,0,0,3.3,3.3,0.14,0.7,0.7,17,0.84,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0,794,936,84.8,39.3,15757,4074,298,348,85.6,348,395,88.1,133,159,83.6,1,0.6,0.4,11,51,12,1,67,249,47,29,76,2.3,61.8
2511,Milan Škriniar,DF,Serie A,26.0,35.0,41,25,61.0,0.7,20,19,2,18,33,54.5,15,89,241,36.9,2.5,117,93,31,58,1.7,28,0,30,38,1.1,79,97,0,3,26,8,30.8,0.74,0.23,0.12,0.38,10.4,0,0,0,2.5,2.5,0.1,0.5,0.5,31,0.89,23,0,1,5,2,0,1,0.03,1,0,0,0,0,0,1987,2130,93.3,56.8,39472,10349,729,772,94.4,974,1023,95.2,270,310,87.1,0,0.6,-0.6,9,84,12,2,78,263,67,47,114,1.9,58.8
2514,Chris Smalling,DF,Serie A,31.0,23.2,37,22,59.5,0.9,29,8,0,13,25,52.0,12,79,184,42.9,3.4,123,56,5,45,1.9,26,0,19,36,1.6,73,91,1,3,11,3,27.3,0.47,0.13,0.27,1.0,7.2,0,0,0,1.7,1.7,0.16,1.3,1.3,8,0.34,5,1,0,2,0,0,1,0.04,1,0,0,0,0,0,927,1038,89.3,40.0,21202,5052,171,195,87.7,586,623,94.1,165,205,80.5,0,0.1,-0.1,1,31,0,0,30,208,60,18,78,2.6,76.9
2515,Emile Smith Rowe,MFFW,Premier League,21.0,21.3,20,16,80.0,0.8,7,13,0,4,15,26.7,11,78,256,30.5,3.7,54,125,77,15,0.7,1,0,14,20,0.9,40,13,0,10,40,23,57.5,1.87,1.08,0.25,0.43,15.5,0,0,0,5.8,5.8,0.14,4.2,4.2,65,3.05,49,4,5,4,3,0,6,0.28,5,1,0,0,0,0,691,811,85.2,32.4,10719,2112,390,429,90.9,244,268,91.0,41,82,50.0,2,2.2,-0.2,29,26,25,0,57,144,8,20,28,0.4,28.6
2517,Danilo Soares,DF,Bundesliga,29.0,28.5,119,68,57.1,2.4,67,39,13,52,84,61.9,32,159,461,34.5,5.6,204,180,77,74,2.6,9,2,65,107,3.8,226,78,0,0,13,1,7.7,0.46,0.04,0.0,0.0,25.2,2,0,0,0.5,0.5,0.04,-0.5,-0.5,51,1.79,35,5,2,0,3,6,4,0.14,3,0,0,0,1,0,1240,1660,74.7,43.5,24458,9185,449,528,85.0,589,735,80.1,186,330,56.4,1,1.2,-0.2,20,101,21,7,114,330,56,39,95,2.0,58.9
2519,Rubén Sobrino,FWMF,La Liga,29.0,20.7,29,18,62.1,0.9,16,9,4,3,28,10.7,25,103,453,22.7,5.0,110,228,115,27,1.3,2,0,25,28,1.4,57,19,0,4,34,10,29.4,1.64,0.48,0.12,0.4,12.0,0,0,0,6.3,6.3,0.19,-2.3,-2.3,47,2.27,25,1,4,6,4,7,5,0.24,1,0,0,1,2,1,373,504,74.0,18.0,5735,1459,214,260,82.3,121,155,78.1,27,52,51.9,1,1.9,-0.9,14,26,6,3,29,142,40,63,103,1.9,38.8
2523,Carlos Soler,MF,La Liga,24.0,27.5,29,19,65.5,0.7,11,13,5,8,34,23.5,26,138,475,29.1,5.0,112,261,102,30,1.1,5,0,25,18,0.7,47,35,0,11,33,14,42.4,1.2,0.51,0.12,0.29,24.1,6,7,7,8.1,2.8,0.09,2.9,1.2,79,2.87,40,36,0,2,1,0,8,0.29,4,4,0,0,0,0,680,984,69.1,24.7,13738,4730,303,350,86.6,212,280,75.7,145,313,46.3,5,4.5,0.5,53,71,34,6,99,186,20,30,50,0.7,40.0
2525,Son,DF,La Liga,27.0,21.9,27,15,55.6,0.7,15,7,5,16,34,47.1,18,61,204,29.9,2.8,95,58,51,33,1.5,5,1,28,36,1.6,63,43,0,1,14,7,50.0,0.64,0.32,0.07,0.14,19.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2,35,1.6,29,2,1,1,1,1,5,0.23,4,0,0,0,1,0,793,1059,74.9,36.2,15173,5415,360,411,87.6,296,372,79.6,124,233,53.2,0,1.6,-1.6,16,46,30,6,88,159,12,20,32,0.5,37.5
2528,Roberto Soriano,MFFW,Serie A,30.0,29.1,63,35,55.6,1.2,30,24,9,20,52,38.5,32,168,543,30.9,5.8,170,238,135,41,1.4,5,0,36,33,1.1,96,35,0,0,25,8,32.0,0.86,0.27,0.0,0.0,17.8,0,0,0,1.9,1.9,0.07,-1.9,-1.9,91,3.12,80,1,0,3,5,2,9,0.31,9,0,0,0,0,0,1031,1258,82.0,35.4,15865,5354,571,641,89.1,356,429,83.0,71,113,62.8,4,4.2,-0.2,45,103,43,11,129,161,27,54,81,0.9,33.3
2530,Borna Sosa,DF,Bundesliga,23.0,27.8,33,15,45.5,0.5,22,8,3,14,29,48.3,15,83,252,32.9,3.0,123,78,51,47,1.7,5,1,42,37,1.3,70,51,0,1,25,6,24.0,0.9,0.22,0.04,0.17,22.0,2,0,0,0.9,0.9,0.03,0.1,0.1,103,3.71,64,26,3,4,5,1,13,0.47,10,2,0,0,1,0,1311,1786,73.4,47.2,24007,10380,612,703,87.1,514,670,76.7,169,353,47.9,8,5.9,2.1,61,96,58,29,174,204,24,26,50,0.9,48.0
2532,Florian Sotoca,FWMF,Ligue 1,30.0,27.6,37,20,54.1,0.7,10,20,7,14,48,29.2,34,131,460,28.5,4.7,86,196,178,35,1.3,4,0,31,31,1.1,68,32,0,6,68,23,33.8,2.47,0.83,0.06,0.17,14.7,0,2,2,8.6,7.1,0.1,-2.6,-3.1,68,2.47,49,0,5,7,3,4,7,0.25,5,0,0,2,0,0,907,1194,76.0,32.9,17039,3597,414,527,78.6,327,412,79.4,138,190,72.6,4,3.0,1.0,30,91,28,10,111,168,94,49,143,3.4,65.7
2534,Tomáš Souček,MF,Premier League,26.0,34.0,68,41,60.3,1.2,31,29,8,25,68,36.8,43,129,483,26.7,3.8,201,220,62,49,1.4,15,0,34,55,1.6,123,119,1,5,45,11,24.4,1.32,0.32,0.11,0.45,11.9,0,0,0,4.8,4.4,0.1,0.2,0.6,34,1.0,29,0,0,3,1,1,4,0.12,4,0,0,0,0,0,1035,1332,77.7,30.4,19295,4272,455,565,80.5,421,521,80.8,140,197,71.1,1,1.5,-0.5,16,93,14,3,100,331,140,143,283,4.1,49.5
2537,Adama Soumaoro,DF,Serie A,29.0,25.2,17,12,70.6,0.5,10,5,2,3,7,42.9,4,61,165,37.0,2.4,86,67,12,35,1.4,18,0,17,44,1.7,61,90,0,0,7,1,14.3,0.28,0.04,0.0,0.0,7.8,0,0,0,0.9,0.9,0.12,-0.9,-0.9,12,0.48,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0,948,1055,89.9,37.6,17653,5743,360,394,91.4,466,505,92.3,106,126,84.1,0,0.1,-0.1,1,46,3,1,56,211,61,16,77,2.4,79.2
2539,Arnaud Souquet,DF,Ligue 1,29.0,25.9,57,31,54.4,1.2,35,15,7,27,71,38.0,44,138,396,34.8,5.3,201,125,70,31,1.2,6,0,25,51,2.0,108,54,0,1,18,4,22.2,0.69,0.15,0.06,0.25,24.2,0,0,0,0.5,0.5,0.03,0.5,0.5,43,1.66,27,3,6,3,2,2,5,0.19,4,0,0,0,1,0,877,1204,72.8,33.9,13806,6171,480,550,87.3,321,416,77.2,52,149,34.9,3,1.3,1.7,18,47,19,4,84,209,39,35,74,1.5,52.7
2540,Djibril Sow,MF,Bundesliga,24.0,26.8,69,34,49.3,1.3,33,30,6,14,48,29.2,34,172,548,31.4,6.4,165,314,69,49,1.8,9,0,40,70,2.6,139,27,0,2,16,3,18.8,0.6,0.11,0.13,0.67,23.8,0,0,0,0.6,0.6,0.04,1.4,1.4,51,1.9,40,1,0,2,4,4,7,0.26,5,0,0,0,1,1,1043,1226,85.1,38.9,20116,5100,405,458,88.4,474,529,89.6,144,194,74.2,3,2.2,0.8,21,103,22,3,114,302,30,39,69,1.1,43.5
2542,Çağlar Söyüncü,DF,Premier League,25.0,27.7,52,30,57.7,1.1,32,17,3,25,41,61.0,16,93,259,35.9,3.4,144,106,9,56,2.0,29,0,27,50,1.8,102,139,1,1,8,1,12.5,0.29,0.04,0.13,1.0,12.0,0,0,0,1.4,1.4,0.17,-0.4,-0.4,11,0.4,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1570,1822,86.2,56.7,32036,9815,479,516,92.8,876,930,94.2,200,345,58.0,0,0.1,-0.1,3,70,3,2,53,299,99,53,152,3.6,65.1
2547,Anton Stach,MF,Bundesliga,22.0,20.7,42,28,66.7,1.4,22,17,3,15,44,34.1,29,132,406,32.5,6.4,141,193,72,35,1.7,5,0,30,72,3.5,114,30,1,1,49,12,24.5,2.37,0.58,0.02,0.08,24.8,8,0,0,1.7,1.7,0.03,-0.7,-0.7,59,2.85,36,9,2,3,8,1,10,0.48,9,1,0,0,0,0,706,964,73.2,34.1,12789,4142,339,418,81.1,257,335,76.7,93,162,57.4,6,3.3,2.7,27,68,18,4,85,290,65,23,88,3.1,73.9
2551,Niklas Stark,DFMF,Bundesliga,26.0,22.6,42,26,61.9,1.2,27,13,2,12,22,54.5,10,90,232,38.8,4.0,143,79,10,44,1.9,16,0,28,43,1.9,85,128,1,1,12,4,33.3,0.53,0.18,0.08,0.25,13.8,0,0,0,0.8,0.8,0.06,0.2,0.2,13,0.58,9,1,0,1,0,2,1,0.04,0,0,0,0,0,1,843,1005,83.9,37.3,18441,6982,246,283,86.9,427,471,90.7,167,237,70.5,0,0.3,-0.3,3,32,3,0,53,238,84,41,125,3.7,67.2
2560,Raheem Sterling,FW,Premier League,26.0,23.6,28,18,64.3,0.8,2,13,13,6,21,28.6,15,93,317,29.3,3.9,38,147,132,15,0.6,0,0,15,15,0.6,43,3,0,13,54,25,46.3,2.28,1.06,0.2,0.44,13.8,0,2,3,14.4,12.0,0.22,-1.4,-1.0,90,3.81,69,1,11,3,5,1,11,0.47,5,0,0,2,4,0,722,876,82.4,30.6,10189,2123,456,508,89.8,222,262,84.7,26,47,55.3,5,4.6,0.4,41,16,55,8,75,112,5,28,33,0.2,15.2
2566,Petar Stojanović,DF,Serie A,25.0,30.4,103,71,68.9,2.3,62,29,12,53,124,42.7,71,172,488,35.2,5.7,217,202,69,69,2.3,16,2,53,54,1.8,157,57,0,1,12,3,25.0,0.39,0.1,0.08,0.33,19.9,0,0,0,0.9,0.9,0.08,0.1,0.1,68,2.24,57,4,4,1,2,0,3,0.1,2,0,1,0,0,0,1340,1707,78.5,44.1,24383,10822,612,677,90.4,578,704,82.1,143,260,55.0,1,3.4,-2.4,35,90,65,17,163,255,16,24,40,0.5,40.0
2573,Pascal Struijk,DF,Premier League,21.0,22.8,68,35,51.5,1.5,42,22,4,28,50,56.0,22,140,387,36.2,6.1,202,158,27,57,2.5,27,0,30,63,2.8,131,82,3,1,11,3,27.3,0.48,0.13,0.09,0.33,7.8,0,0,0,1.3,1.3,0.12,-0.3,-0.3,19,0.83,13,0,0,2,1,3,2,0.09,0,0,0,1,0,1,1059,1213,87.3,46.4,22171,6139,325,356,91.3,564,605,93.2,162,227,71.4,0,0.3,-0.3,6,60,2,0,72,230,47,36,83,2.1,56.6
2576,Stefano Sturaro,MF,Serie A,28.0,19.6,53,37,69.8,1.9,15,22,16,19,39,48.7,20,133,426,31.2,6.8,112,222,92,38,1.9,0,0,38,22,1.1,75,33,0,0,9,0,0.0,0.46,0.0,0.0,0.0,18.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,21,1.07,13,0,0,1,4,3,0,0.0,0,0,0,0,0,0,379,594,63.8,19.3,6372,2309,187,248,75.4,131,197,66.5,44,92,47.8,0,0.5,-0.5,7,24,13,5,50,204,54,59,113,2.8,47.8
2577,Damián Suárez,DF,La Liga,33.0,30.1,77,50,64.9,1.7,38,29,10,43,95,45.3,52,159,522,30.5,5.3,186,245,91,60,2.0,5,0,55,67,2.2,144,37,0,0,14,4,28.6,0.46,0.13,0.0,0.0,30.3,2,0,0,0.5,0.5,0.04,-0.5,-0.5,70,2.32,48,15,0,1,2,4,7,0.23,3,1,0,0,2,1,1010,1466,68.9,33.6,20311,10206,427,493,86.6,423,562,75.3,146,346,42.2,3,2.9,0.1,45,100,41,24,135,241,29,35,64,1.0,45.3
2578,Denis Suárez,MF,La Liga,27.0,31.3,65,38,58.5,1.2,18,39,8,23,76,30.3,53,182,652,27.9,5.8,153,370,129,40,1.3,6,0,34,21,0.7,86,14,0,4,21,8,38.1,0.67,0.26,0.19,0.5,20.7,1,0,0,1.9,1.9,0.09,2.1,2.1,89,2.84,56,21,4,4,2,2,12,0.38,8,2,0,1,0,1,1630,2040,79.9,52.1,28578,7595,781,876,89.2,632,748,84.5,176,321,54.8,6,4.8,1.2,46,167,31,7,145,282,18,27,45,0.6,40.0
2579,Luis Suárez,FW,La Liga,34.0,20.4,8,4,50.0,0.2,1,4,3,3,10,30.0,7,45,176,25.6,2.2,15,82,79,7,0.3,2,0,5,3,0.1,11,14,0,11,51,23,45.1,2.5,1.13,0.18,0.39,20.0,2,2,3,9.0,6.8,0.13,2.0,2.2,36,1.77,27,0,0,4,3,2,6,0.29,4,0,0,1,1,0,363,497,73.0,17.8,5943,937,199,260,76.5,116,149,77.9,40,54,74.1,2,1.7,0.3,15,21,14,3,29,64,27,34,61,1.3,44.3
2582,Niklas Süle,DF,Bundesliga,25.0,20.4,36,22,61.1,1.1,23,13,0,18,23,78.3,5,59,152,38.8,2.9,82,62,8,24,1.2,13,0,11,36,1.8,72,62,1,1,16,6,37.5,0.78,0.29,0.06,0.17,17.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,25,1.22,19,1,2,3,0,0,5,0.24,4,0,0,1,0,0,1572,1735,90.6,77.1,32984,11424,489,518,94.4,801,856,93.6,262,320,81.9,2,1.0,1.0,8,122,9,1,127,248,55,20,75,2.7,73.3
2588,Mattias Svanberg,MF,Serie A,22.0,28.5,45,25,55.6,0.9,17,20,8,14,55,25.5,41,123,466,26.4,4.3,162,227,77,52,1.8,14,0,38,32,1.1,77,28,2,3,39,13,33.3,1.37,0.46,0.08,0.23,19.9,2,0,0,2.0,2.0,0.05,1.0,1.0,60,2.11,44,10,3,1,2,0,6,0.21,5,1,0,0,0,0,787,1063,74.0,27.6,13835,4215,405,457,88.6,253,334,75.7,104,208,50.0,3,3.4,-0.4,35,73,28,7,84,205,25,33,58,0.9,43.1
2597,Alexander Sørloth,FW,La Liga,25.0,19.6,25,15,60.0,0.8,5,9,11,6,17,35.3,11,84,345,24.3,4.3,37,147,161,13,0.7,1,0,12,7,0.4,32,14,0,4,37,12,32.4,1.89,0.61,0.11,0.33,11.6,0,0,0,6.5,6.5,0.18,-2.5,-2.5,41,2.09,31,0,5,3,2,0,4,0.2,1,0,2,0,1,0,337,463,72.8,17.2,4896,720,201,255,78.8,102,141,72.3,20,32,62.5,0,2.6,-2.6,20,19,14,2,28,73,71,60,131,3.6,54.2
2599,Jonathan Tah,DF,Bundesliga,25.0,32.0,33,18,54.5,0.6,26,7,0,14,27,51.9,13,100,240,41.7,3.1,153,79,8,43,1.3,21,0,22,67,2.1,100,167,2,2,15,3,20.0,0.47,0.09,0.13,0.67,10.5,0,0,0,1.1,1.1,0.08,0.9,0.9,20,0.63,17,0,0,2,0,1,2,0.06,1,0,0,1,0,0,1693,1884,89.9,52.9,36594,10567,424,459,92.4,976,1041,93.8,282,361,78.1,2,1.0,1.0,8,84,4,1,97,318,109,41,150,3.4,72.7
2601,Flavien Tait,MF,Ligue 1,28.0,23.6,33,23,69.7,1.0,12,13,8,16,47,34.0,31,93,321,29.0,3.9,83,156,82,26,1.1,4,0,22,22,0.9,55,10,0,5,43,12,27.9,1.82,0.51,0.12,0.42,19.8,0,0,0,3.2,3.2,0.07,1.8,1.8,84,3.56,60,0,4,9,6,5,10,0.42,7,0,1,0,1,1,1102,1264,87.2,46.7,21107,4549,469,532,88.2,435,484,89.9,179,207,86.5,3,3.5,-0.5,30,130,33,4,129,183,8,19,27,0.3,29.6
2602,Adrien Tameze,MFDF,Serie A,27.0,28.6,49,32,65.3,1.1,26,18,5,19,53,35.8,34,172,503,34.2,6.0,164,256,83,54,1.9,5,0,49,72,2.5,121,56,0,4,23,7,30.4,0.8,0.24,0.17,0.57,20.6,0,0,0,1.4,1.4,0.06,2.6,2.6,56,1.96,46,1,3,2,1,3,6,0.21,4,1,1,0,0,0,1038,1299,79.9,36.3,18636,5759,487,566,86.0,409,489,83.6,121,186,65.1,2,1.7,0.3,27,92,21,4,126,333,59,60,119,2.1,49.6
2605,Edmond Tapsoba,DF,Bundesliga,22.0,20.2,34,21,61.8,1.0,23,9,2,17,28,60.7,11,81,200,40.5,4.0,133,61,6,35,1.7,16,0,19,55,2.7,89,75,1,1,7,1,14.3,0.35,0.05,0.14,1.0,9.1,0,0,0,0.4,0.4,0.06,0.6,0.6,8,0.4,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1261,1425,88.5,62.4,28184,8550,283,307,92.2,703,742,94.7,252,337,74.8,0,0.0,0.0,1,73,1,0,57,198,46,28,74,2.3,62.2
2606,Florian Tardieu,MF,Ligue 1,29.0,29.2,58,38,65.5,1.3,24,28,6,21,81,25.9,60,155,495,31.3,5.3,195,260,40,47,1.6,10,0,37,55,1.9,113,43,0,4,20,5,25.0,0.68,0.17,0.0,0.0,29.9,4,4,4,3.8,0.8,0.04,0.2,-0.8,84,2.87,48,30,0,1,2,3,2,0.07,1,1,0,0,0,0,1685,2040,82.6,57.7,34655,10430,658,720,91.4,706,796,88.7,291,471,61.8,2,3.1,-1.1,49,174,23,3,170,299,36,23,59,1.2,61.0
2610,James Tarkowski,DF,Premier League,28.0,34.5,71,42,59.2,1.2,52,18,1,32,57,56.1,25,94,261,36.0,2.7,176,73,12,92,2.7,63,3,29,72,2.1,143,216,5,1,23,6,26.1,0.67,0.17,0.04,0.17,10.6,0,0,0,2.0,2.0,0.09,-1.0,-1.0,23,0.67,20,0,0,2,0,1,2,0.06,2,0,0,0,0,0,802,1120,71.6,23.2,20232,7971,197,258,76.4,365,471,77.5,231,371,62.3,2,0.6,1.4,9,82,13,0,92,377,171,78,249,5.0,68.7
2614,Charlie Taylor,DF,Premier League,27.0,30.3,54,24,44.4,0.8,33,18,3,28,48,58.3,20,62,243,25.5,2.0,130,85,28,95,3.1,20,0,75,72,2.4,126,84,1,0,7,0,0.0,0.23,0.0,0.0,0.0,21.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,41,1.35,32,2,1,0,6,0,6,0.2,4,1,0,0,1,0,977,1364,71.6,32.2,18453,7863,458,518,88.4,361,459,78.6,140,321,43.6,3,3.5,-0.5,20,64,26,19,79,275,66,34,100,2.2,66.0
2617,Aurélien Tchouaméni,MF,Ligue 1,21.0,32.5,97,67,69.1,2.1,41,49,7,28,65,43.1,37,213,595,35.8,6.6,175,329,91,35,1.1,9,0,26,114,3.5,211,44,0,3,56,10,17.9,1.72,0.31,0.05,0.3,21.3,0,0,0,2.3,2.3,0.04,0.7,0.7,70,2.15,47,1,7,6,4,5,11,0.34,11,0,0,0,0,0,1797,2078,86.5,55.3,35727,9076,677,752,90.0,823,920,89.5,279,356,78.4,2,2.8,-0.8,22,169,34,6,189,382,86,35,121,2.6,71.1
